ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
277,Antico Testamento,L'Asina di Balaam Vede l'Angelo sulla Via,Numeri 22,20:00,"Ecco a voi in 2 minuti: la vista spirituale donata alla creatura umile. Il profeta Balaam cavalca la sua asina per andare a maledire Israele dietro ricompensa. Lungo la via, per tre volte l'asina scorge l'angelo dell'Eterno con la spada sguainata e devia nei campi o si schiaccia al muro per proteggere il padrone, venendo percossa. Allora il Signore apre la bocca dell'asina che dice: «Che ti ho fatto perché tu mi percuota?» Subito si aprono gli occhi di Balaam che vede l'angelo e si prostra. Chi è umile scorge il pericolo prima dei sapienti.",Pronto
278,Antico Testamento,Il Tramonto di Mosè sul Monte Nebo,Deuteronomio 34,20:00,"Ecco a voi in 2 minuti: lo sguardo sereno sulla meta oltre l'orizzonte. All'età di centoventi anni, con la vista non affievolita e il vigore intatto, Mosè sale dalle pianure di Moab sulla cima del monte Nebo. L'Eterno gli fa contemplare tutta la terra promessa fino al mare occidentale. Mosè muore là nella pace, sulla parola del Signore, e viene sepolto nel silenzio della valle. Non è mai sorto in Israele un profeta simile a lui, che parlava con Dio a faccia a faccia. La vita spesa per gli altri risplende per sempre.",Pronto
279,Antico Testamento,Il Passaggio del Fiume Giordano all'Asciutto,Giosuè 3,20:00,"Ecco a voi in 2 minuti: i sacerdoti che avanzano e aprono la strada. Il popolo d'Israele è alle porte di Canaan dinanzi al fiume Giordano in piena primaverile. Giosuè ordina ai sacerdoti di prendere l'Arca dell'Alleanza e avanzare verso le acque. Appena le piante dei piedi dei sacerdoti toccano la riva del fiume, le acque a monte si arrestano all'istante formando una diga e quelle a valle defluiscono nel Mar Morto. Tutto il popolo attraversa a piedi asciutti mentre l'Arca sosta salda in mezzo al letto del fiume. Il primo passo di fede apre le vie impossibili.",Pronto
280,Antico Testamento,Le Dodici Pietre del Memoriale a Galgala,Giosuè 4,20:00,"Ecco a voi in 2 minuti: il monumento della gratitudine per i figli. Attraversato il fiume Giordano, Giosuè sceglie dodici uomini, uno per tribù, e ordina loro di prendere dodici grandi pietre dal mezzo del fiume, dove i sacerdoti stavano fermi, e portarle all'accampamento di Galgala erigendo un memoriale: «Quando in futuro i vostri figli vi chiederanno: Che significano per voi queste pietre?, racconterete loro che il Signore ha asciugato le acque davanti a noi.» Ricordare le meraviglie vissute trasmette la speranza alle generazioni future.",Pronto
281,Antico Testamento,Il Comandante dell'Esercito dell'Eterno,Giosuè 5,20:00,"Ecco a voi in 2 minuti: la santità che precede la vittoria sul campo. Mentre si trova nei pressi di Gerico, Giosuè alza gli occhi e vede un uomo in piedi davanti a lui con una spada sguainata nella mano. Giosuè gli va incontro chiedendo: «Sei tu per noi o per i nostri avversari?» Egli risponde con autorità: «No, io sono il comandante dell'esercito dell'Eterno e arrivo adesso!» Giosuè cade con la faccia a terra e si toglie i calzari perché il luogo è santo. La vera vittoria appartiene sempre alla giustizia divina.",Pronto
282,Antico Testamento,Il Filo Rosso di Raab alla Finestra,Giosuè 6,20:00,"Ecco a voi in 2 minuti: la fede coraggiosa che salva un'intera famiglia. A Gerico, la donna Raab accoglie e protegge i messaggeri israeliti sulla terrazza della sua casa, posta sulle mura, credendo nel Dio del cielo e della terra. I messaggeri stringono un patto con lei: le ordinano di legare una cordicella di filo scarlatto alla finestra da cui li ha fatti calare, e chiunque si troverà dentro la sua casa sarà risparmiato. Quando la città cade, la casa col filo rosso resta intatta e Raab entra a far parte della storia sacra.",Pronto
283,Antico Testamento,Il Sole si Ferma sulla Valle di Aialon,Giosuè 10,20:00,"Ecco a voi in 2 minuti: la preghiera ardita che arresta il tempo per la giustizia. Durante una battaglia decisiva per difendere gli alleati di Gabaon contro cinque re coalizzati, Giosuè parla all'Eterno alla presenza di tutto Israele: «Sole, férmati su Gabaon, e tu, luna, sulla valle di Aialon!» Il sole si ferma in mezzo al cielo e non affretta il tramonto per quasi un giorno intero, finché la giustizia non è compiuta. Non vi fu mai giorno simile prima o dopo, in cui il Signore diede ascolto con tale potenza alla voce di un uomo.",Pronto
284,Antico Testamento,Il Patto Finale di Giosuè a Sichem,Giosuè 24,20:00,"Ecco a voi in 2 minuti: la scelta libera e solenne per il bene. Giunto al termine dei suoi giorni, Giosuè raduna tutte le tribù d'Israele a Sichem. Ripercorre la storia della provvidenza divina e pone il popolo dinanzi a una decisione responsabile: «Scegliete oggi chi volete servire; quanto a me e alla casa mia, noi serviremo l'Eterno!» Il popolo risponde commosso: «Lungi da noi l'idea di abbandonare il Signore; egli è il nostro Dio!» Porre le fondamenta della propria casa sulla rettitudine assicura pace e benedizione duratura.",Pronto
285,Antico Testamento,Il Canto Trionfale della Profetessa Debora,Giudici 5,20:00,"Ecco a voi in 2 minuti: la guida coraggiosa che ristabilisce la pace nei villaggi. Nel periodo dei Giudici, quando le strade erano deserte e i villaggi abbandonati per l'oppressione, sorge Debora, madre in Israele e saggia consigliera sotto la palma di Efraim. Insieme a Barac guida la liberazione del popolo sconfiggendo carri e tiranni. Il suo canto di vittoria celebra la dedizione dei volontari e la fede che rinnova la libertà: la terra ritrova quarant'anni di pace e serenità. Il coraggio femminile risveglia la speranza.",Pronto
286,Antico Testamento,La Vocazione di Gedeone Sotto il Terebinto,Giudici 6,20:00,"Ecco a voi in 2 minuti: la chiamata di chi si sente piccolo e timoroso. Gedeone sta battendo il grano nello stretto spazio di uno strettoio per nasconderlo ai predoni madianiti. L'angelo dell'Eterno gli appare sotto il terebinto di Ofra dicendogli: «L'Eterno è con te, o uomo valoroso!» Gedeone risponde con umiltà: «Signore mio, la mia famiglia è la più povera e io sono il più piccolo nella casa di mio padre!» Ma Dio risponde: «Io sarò con te e tu vincerai.» La forza autentica si manifesta nell'umiltà fiduciosa.",Pronto
287,Antico Testamento,Il Vello di Lana e la Rugiada del Mattino,Giudici 6,20:00,"Ecco a voi in 2 minuti: il segno di rugiada che dissipa ogni timore. Desiderando una conferma prima della battaglia, Gedeone stende un vello di lana nell'aia dicendo: «Se la rugiada bagnerà soltanto il vello mentre tutto il terreno attorno resterà asciutto, saprò che salverai Israele.» La mattina dopo strizza il vello ricavandone una coppa d'acqua. La notte successiva chiede l'opposto: il vello asciutto e la rugiada su tutto il terreno. Dio esaudisce con pazienza infinita, infondendo coraggio al suo cuore.",Pronto
288,Antico Testamento,Il Giuramento di Iefte e la Fede della Figlia,Giudici 11,20:00,"Ecco a voi in 2 minuti: la purezza d'animo che rispetta la parola data. Il giudice Iefte vince una dura battaglia contro gli Ammoniti e torna alla sua casa di Mispa; la prima a uscirgli incontro con tamburelli e danze festose è la sua unica e amatissima figlia. Quando il padre si lacera le vesti per il voto pronunciato, la fanciulla risponde con nobile serenità: «Padre mio, se hai aperto la bocca davanti all'Eterno, fa' di me secondo quanto è uscito dalle tue labbra!» L'integrità spirituale nobilita ogni sacrificio.",Pronto
289,Antico Testamento,La Nascita Prodigiosa di Sansone,Giudici 13,20:00,"Ecco a voi in 2 minuti: la promessa dell'eroe consacrato fin dal grembo. La moglie di Manoach è sterile e addolorata. L'angelo del Signore le appare annunciandole che partorirà un figlio consacrato a Dio fin dal seno materno come nazireo, sul cui capo non passerà mai rasoio. Quando Manoach prega per rivedere il messaggero, l'angelo riappare, sale al cielo nella fiamma del sacrificio e la coppia si prostra a terra. Nasce Sansone e lo Spirito del Signore comincia ad agire in lui tra le colline.",Pronto
290,Antico Testamento,L'Enigma del Leone e del Miele di Sansone,Giudici 14,20:00,"Ecco a voi in 2 minuti: la dolcezza che scaturisce dalla forza superata. Scendendo a Timna, un giovane leone ruggente assale Sansone, ma lo Spirito lo investe ed egli lo squarcia a mani nude come fosse un capretto. Tornando dopo qualche tempo lungo la stessa via, trova nella carcassa del leone uno sciame d'api con favi di miele dorato; ne prende nel cavo delle mani e ne mangia camminando, donandone anche ai genitori. Da quell'evento nasce il celebre enigma: «Dal divoratore è uscito il cibo, e dal forte è uscito il dolce.»",Pronto
291,Antico Testamento,Le Volpi con le Torce nei Campi dei Filistei,Giudici 15,20:00,"Ecco a voi in 2 minuti: la risposta travolgente all'ingiustizia subita. Subito un grave torto e privato della sposa, Sansone cattura trecento volpi, le lega a due a due per la coda mettendo una torcia accesa in mezzo a ogni coppia, e le lascia libere nei campi di grano maturo dei filistei all'epoca della mietitura. I covoni, le messi in piedi, le vigne e gli oliveti prendono fuoco. Nessun sopruso rimane privo di conseguenze: la libertà oppressa trova sempre vie inaspettate per manifestare la sua forza.",Pronto
292,Antico Testamento,Le Porte della Città di Gaza Portate sul Colle,Giudici 16,20:00,"Ecco a voi in 2 minuti: la forza prodigiosa che spalanca le trappole nemiche. Gli abitanti di Gaza circondano la città e pongono agguati alle porte per catturare Sansone all'alba. Ma a mezzanotte Sansone si alza, afferra i battenti della porta della città con i due stipiti, li scardina insieme alla sbarra, se li carica sulle possenti spalle e li trasporta fin sulla cima del monte che guarda verso Ebron. Nessuna prigione o porta blindata dal male può trattenere chi è investito dalla forza dello Spirito.",Pronto
293,Antico Testamento,Dalila e la Perdita della Chioma Votiva,Giudici 16,20:00,"Ecco a voi in 2 minuti: l'inganno che fiacca la vigilanza del forte. Nella valle di Sorek Sansone si innamora di Dalila, che viene corrotta dai principi filistei per scoprire il segreto della sua forza. Dopo averla elusa per tre volte, stanco delle sue insistenze quotidiane, Sansone le apre tutto il suo cuore confidandole che è nazireo di Dio e che radendogli i capelli perderebbe ogni vigore. Addormentato sulle sue ginocchia, viene rasato e perde la forza. La leggerezza nel custodire i doni sacri conduce alla caduta.",Pronto
294,Antico Testamento,Il Cantico di Lode di Anna a Silo,1 Samuele 2,20:00,"Ecco a voi in 2 minuti: l'esultanza che celebra il riscatto degli umili. Dopo aver condotto il piccolo Samuele al tempio per consacrarlo al servizio dell'Eterno, Anna intona una preghiera sublime: «Il mio cuore esulta nell'Eterno, la mia fronte si innalza nel mio Dio! Non c'è santo come l'Eterno, non c'è rocca pari al nostro Dio. L'arco dei forti è spezzato, ma i deboli sono cinti di forza; chi era affamato non ha più fame. L'Eterno abbassa ed esalta, solleva il misero dalla polvere per farlo sedere tra i principi.»",Pronto
295,Antico Testamento,La Caduta dell'Idolo Dagon Davanti all'Arca,1 Samuele 5,20:00,"Ecco a voi in 2 minuti: la maestà sacra che rovescia le false divinità. Catturata l'Arca di Dio in battaglia, i filistei la trasportano trionfanti nel tempio del loro idolo Dagon ad Asdod, ponendola accanto alla statua. Il mattino seguente trovano Dagon caduto con la faccia a terra davanti all'Arca. Raddrizzata la statua, il giorno dopo la ritrovano non solo caduta, ma con la testa e le palme delle mani mozzate sulla soglia. Nessun manufatto creato dall'uomo può reggere dinanzi alla santità del Creatore.",Pronto
296,Antico Testamento,L'Arca Riportata sul Carro Trainato da Vacche,1 Samuele 6,20:00,"Ecco a voi in 2 minuti: la via dritta guidata dalla mano divina. Desiderosi di allontanare l'Arca che causava piaghe, i principi filistei costruiscono un carro nuovo di zecca e vi attaccano due mucche che allattano e non hanno mai portato giogo, chiudendo i loro vitelli nella stalla. Senza guida umana, le mucche prendono la via dritta verso Bet-Semes muggendo lungo il cammino senza deviare né a destra né a sinistra. Il popolo che miete il grano nella valle alza gli occhi, vede l'Arca e si rallegra immensamente.",Pronto
297,Antico Testamento,La Vittoria di Eben-Ezer: «Fin Qui l'Eterno ci ha Soccorso»,1 Samuele 7,20:00,"Ecco a voi in 2 minuti: il memoriale del soccorso divino nella prova. Radunato il popolo a Mispa per un giorno di digiuno e pentimento, i filistei avanzano per attaccare. Samuele offre un olocausto e grida all'Eterno: un potente tuono rimbomba nel cielo seminando lo scompiglio tra i nemici, che vengono messi in fuga. Samuele prende allora una grande pietra, la colloca tra Mispa e Sen e la chiama Eben-Ezer, dicendo: «Fin qui l'Eterno ci ha soccorso!» Riconoscere il bene ricevuto è la roccia della vera sicurezza.",Pronto
298,Antico Testamento,Saul Cerca le Asine e Trova la Corona,1 Samuele 9,20:00,"Ecco a voi in 2 minuti: i passi ordinari guidati verso un destino grande. Il giovane Saul, alto e di bell'aspetto, parte con un servo alla ricerca delle asine smarrite del padre Cis. Dopo aver attraversato invano monti e valli, decide di consultare il profeta Samuele per avere indicazioni. Ma Dio aveva già avvertito Samuele: «Domani ti manderò un uomo che ungerai come capo del mio popolo.» Ciò che sembrava un piccolo contrattempo quotidiano si rivela la soglia regale della consacrazione al servizio pubblico.",Pronto
299,Antico Testamento,Gionata e il Suo Scudiero Scalano la Rupe,1 Samuele 14,20:00,"Ecco a voi in 2 minuti: l'audacia della fede che sfida le guarnigioni nemiche. Accampati a Ghibea, il giovane principe Gionata dice al suo fedele scudiero: «Vieni, andiamo verso la guarnigione nemica: forse l'Eterno agirà per noi, perché nulla può impedire all'Eterno di salvare con molti o con pochi!» Lo scudiero risponde: «Fa' tutto ciò che hai nel cuore, sono con te!» Salgono carponi la ripida rupe rocciosa e sbaragliano l'avamposto seminando il panico nel campo nemico. Il vero coraggio trascina e ottiene vittoria.",Pronto
300,Antico Testamento,L'Arpa di Davide che Rasserena l'Anima di Saul,1 Samuele 16,20:00,"Ecco a voi in 2 minuti: l'armonia della musica che dissipa l'angoscia interiore. Quando il re Saul è tormentato da uno spirito di tristezza e cupa agitazione, i suoi servi gli consigliano di cercare un uomo abile nel suonare la cetra. Chiamano il giovane pastore Davide: ogni volta che l'ansia assale il sovrano, Davide prende l'arpa e suona melodie limpide con la sua mano; Saul trova sollievo, si rasserena e l'ombra del turbamento si allontana dal suo cuore. La bellezza e la pace interiore sanano le ferite dell'anima.",Pronto
ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
301,Antico Testamento,La Promessa dell'Amicizia tra Davide e Gionata,1 Samuele 18,20:00,"Ecco a voi in 2 minuti: il patto di lealtà più forte di ogni invidia di corte. Dopo la vittoria su Golia, l'animo di Gionata si lega indissolubilmente a Davide, amandolo come la sua stessa vita. Gionata si spoglia del suo mantello regale, della sua armatura, della spada, dell'arco e della cintura per donarli al giovane pastore. Nonostante il padre Saul covi gelosie mortali, Gionata difende Davide rischiando la propria vita. La lealtà autentica non teme la rivalità, ma esalta il valore dell'amico.",Pronto
302,Antico Testamento,La Saggezza Pacificatrice di Abigail,1 Samuele 25,20:00,"Ecco a voi in 2 minuti: la parola prudente che disarma la collera. Offeso dal rifiuto ingrato del ricco Nabal, Davide marcia armato per vendicarsi. Ma Abigail, donna intelligente e di bell'aspetto moglie di Nabal, prepara in fretta provviste di pane, vino, pecore e fichi secchi, e gli corre incontro. Si getta ai suoi piedi con umiltà supplicando: «Non macchiarti di sangue innocente!» Davide loda la sua saggezza e la benedice: la dolcezza e la tempestività evitano spargimenti di sangue.",Pronto
303,Antico Testamento,Davide a Siclag Riconquista Tutto,1 Samuele 30,20:00,"Ecco a voi in 2 minuti: la speranza ritrovata tra le ceneri dell'angoscia. Tornando a Siclag, Davide e i suoi uomini trovano la città incendiata dai predoni amaleciti e le famiglie prigioniere; piangono fino a perdere le forze. Ma Davide ritrova forza nell'Eterno suo Dio, consulta l'efod e si lancia all'inseguimento con quattrocento uomini. Raggiunge i predoni, recupera intatta ogni persona e tutti i beni senza perdere nulla. La fiducia in Dio trasforma lo sconforto più buio in vittoria piena.",Pronto
304,Antico Testamento,Il Lamento di Davide per Saul e Gionata,2 Samuele 1,20:00,"Ecco a voi in 2 minuti: la nobiltà del lutto che onora chi è caduto. Saputo della morte sul monte Ghilboa del re Saul e dell'amico fraterno Gionata, Davide si lacera le vesti e digiuna fino a sera, rifiutando ogni trionfalismo per la fine del suo persecutore. Compone il celebre canto dell'arco: «Come sono caduti i prodi! O monti di Ghilboa, non scenda su di voi né rugiada né pioggia! Tu mi eri carissimo, Gionata, il tuo amore era per me più meraviglioso dell'amore di donna!» Il cuore nobile rispetta il valore altrui.",Pronto
305,Antico Testamento,Davide Porta l'Arca a Gerusalemme Danzando,2 Samuele 6,20:00,"Ecco a voi in 2 minuti: la gioia incontenibile della lode al Signore. Davide raduna i migliori guerrieri per salire a Gerusalemme con l'Arca dell'Alleanza. Vestito di un semplice efod di lino, il re danza con tutte le sue forze davanti all'Arca al suono di trombe, cetre e cembali, distribuendo focacce e datteri a tutto il popolo festante. Quando Mikal lo deride per essersi mostrato umile, egli risponde con fierezza: «Dinanzi all'Eterno danzerò e mi farò ancora più piccolo!» L'umiltà nell'adorazione è vera grandezza.",Pronto
306,Antico Testamento,La Promessa Eterna alla Casa di Davide,2 Samuele 7,20:00,"Ecco a voi in 2 minuti: il patto della casa stabile che non tramonterà. Dimorando nel suo palazzo di cedro, Davide desidera edificare un tempio grandioso per l'Arca di Dio. Ma l'Eterno invia il profeta Natan a dirgli: «Non sarai tu a costruirmi una casa, ma l'Eterno edificherà una casa a te: stabilirò il tuo trono in eterno!» Davide entra, si siede alla presenza del Signore e prega commosso: «Chi sono io, Signore Dio, perché tu mi abbia fatto arrivare fino a questo punto?» La grazia precede sempre ogni merito.",Pronto
307,Antico Testamento,La Bontà di Davide Verso Mefiboset,2 Samuele 9,20:00,"Ecco a voi in 2 minuti: l'onore reso al debole per amore del passato. Desiderando mostrare la misericordia di Dio alla casa del defunto amico Gionata, Davide cerca superstiti e trova Mefiboset, giovane zoppo a entrambi i piedi rifugiato a Lodebar. Quando entra tremante al palazzo, il re lo rassicura subito: «Non temere, ti restituirò tutte le terre di tuo nonno Saul e tu mangerai sempre alla mia tavola come uno dei miei figli!» La fedeltà alla parola data riscatta chi è dimenticato.",Pronto
308,Antico Testamento,Il Profeta Natan e la Parabola della Pecorella,2 Samuele 12,20:00,"Ecco a voi in 2 minuti: il rimprovero retto che desta la coscienza dal sonno. Dopo la colpa con Betsabea e la morte di Uria, Davide riceve la visita del profeta Natan, che gli racconta di un ricco con immensi armenti che ruba l'unica amata pecorella a un povero per offrirla a un ospite. Davide si accende d'ira: «Merita la morte!» E Natan svela con coraggio: «Tu sei quell'uomo!» Davide riconosce il suo errore: «Ho peccato contro l'Eterno!» Dalla sincerità del pentimento nasce il Salmo 51 e la via della grazia.",Pronto
309,Antico Testamento,La Fuga di Davide e l'Umiltà sul Monte degli Ulivi,2 Samuele 15,20:00,"Ecco a voi in 2 minuti: la mitezza serena nella prova della ribellione. Davanti alla rivolta del figlio Assalonne, Davide lascia Gerusalemme a piedi nudi e col capo coperto, piangendo lungo la salita del monte degli Ulivi. Quando i sacerdoti portano l'Arca per seguirlo, egli ordina con fede: «Riportate l'Arca nella città: se trovo grazia, il Signore mi farà rivedere lei e la sua dimora.» E quando Simei lo maledice, rifiuta la vendetta: «Lasciatelo fare, forse l'Eterno guarderà la mia afflizione.» L'abbandono a Dio custodisce l'anima.",Pronto
310,Antico Testamento,Il Dolore Paterno di Davide per Assalonne,2 Samuele 18,20:00,"Ecco a voi in 2 minuti: il pianto del padre sopra ogni calcolo di vittoria. Sconfitto l'esercito ribelle nella foresta di Efraim, il giovane Assalonne perde la vita. Giunto il messaggero con la notizia della vittoria, Davide domanda ansioso una sola cosa: «Sta bene il giovane Assalonne?» Alla risposta della sua morte, il re trema, sale nella camera sopra la porta e piange a dirotto gridando: «Assalonne figlio mio, figlio mio! Fossi morto io al posto tuo!» L'amore paterno supera ogni offesa terrena.",Pronto
311,Antico Testamento,L'Altare nell'Aia di Arauna,2 Samuele 24,20:00,"Ecco a voi in 2 minuti: il sacrificio che non accetta comodità a costo zero. Per fermare una dura pestilenza, Davide riceve l'ordine di erigere un altare nell'aia del gebuseo Arauna. Il proprietario offre gratuitamente terreno, buoi e legna, ma il re rifiuta nobilmente: «No, voglio comprare queste cose da te a prezzo giusto; non offrirò all'Eterno olocausti che non mi costino nulla!» Compra l'aia e i buoi, offre sacrifici di pace e la piaga si arresta. L'offerta autentica nasce da un cuore che sa donarsi davvero.",Pronto
312,Antico Testamento,L'Unzione di Salomone presso la Fonte di Ghihon,1 Re 1,20:00,"Ecco a voi in 2 minuti: l'ascesa pacifica del re saggio. Sul finire della vita di Davide, Adonia tenta di impadronirsi del trono con la forza. Ma il re ordina al sacerdote Sadoc e al profeta Natan di far montare Salomone sulla mula reale e condurlo alla sorgente di Ghihon. Lì Sadoc lo unge con il corno d'olio sacro tra gli squilli di tromba e le acclamazioni del popolo: «Viva il re Salomone!» Tutta la città si rallegra e la pace viene stabilita senza spargimento di sangue. Il disegno saggio si compie con ordine.",Pronto
313,Antico Testamento,Il Patto tra Salomone e Chiram per i Cedri del Libano,1 Re 5,20:00,"Ecco a voi in 2 minuti: l'alleanza operosa per edificare la bellezza. Desiderando innalzare il tempio all'Eterno, Salomone stringe un patto di amicizia e commercio con Chiram, re di Tiro. Chiram fa tagliare magnifici cedri e cipressi sui monti del Libano, trasportandoli via mare su zattere, mentre Salomone ricambia inviando grano ed olio vergine per la sua casa. La cooperazione pacifica tra popoli diversi permette di realizzare opere monumentali di dignità, bellezza e culto duraturo.",Pronto
314,Antico Testamento,La Dedicazione del Tempio e la Nube di Gloria,1 Re 8,20:00,"Ecco a voi in 2 minuti: la preghiera solenne e la dimora sacra. Completata la costruzione del tempio con oro e legni intagliati, i sacerdoti vi introducono l'Arca dell'Alleanza nel luogo santissimo. Appena escono dal santuario, la nube della gloria del Signore riempie la casa a tal punto che i sacerdoti non possono rimanere a servire. Salomone allarga le braccia al cielo e prega per chiunque, israelita o straniero, si volgerà verso quel luogo nella prova. La casa di preghiera accoglie ogni invocazione.",Pronto
315,Antico Testamento,La Visita della Regina di Saba a Salomone,1 Re 10,20:00,"Ecco a voi in 2 minuti: la ricerca nobile della sapienza universale. Avendo udito la fama di Salomone e la sua devozione all'Eterno, la regina di Saba compie un lungo viaggio con una ricca carovana di cammelli carichi di aromi, oro e pietre preziose per metterlo alla prova con enigmi difficili. Salomone risponde a ogni domanda con limpida profondità. Sbalordita dall'ordine della reggia e dalla sua saggezza, la regina esclama: «Non mi era stata detta neppure la metà!» La verità affascina chi la cerca con rettitudine.",Pronto
316,Antico Testamento,Il Profeta Ahia e la Tunica Strappata in Dodici Brani,1 Re 11,20:00,"Ecco a voi in 2 minuti: il segno profetico della divisione del regno. Fuori Gerusalemme, il profeta Ahia di Silo incontra Geroboamo che cammina per strada; Ahia indossa un mantello nuovo, lo afferra, lo squarcia in dodici pezzi e dice a Geroboamo: «Prendine dieci per te, perché così dice l'Eterno: Io strappo il regno dalla mano di Salomone e ne darò a te dieci tribù se camminerai nelle mie vie!» Nessuna gloria umana dura se si allontana dalla rettitudine morale e dalla giustizia.",Pronto
317,Antico Testamento,La Risposta Dura di Roboamo e lo Scisma,1 Re 12,20:00,"Ecco a voi in 2 minuti: la rovina dell'arroganza che non ascolta i saggi. Salito al trono, Roboamo rifiuta il saggio consiglio degli anziani che gli suggeriscono di farsi servitore del popolo alleggerendo i tributi. Ascolta invece i giovani compagni inesperti e risponde con durezza al popolo: «Mio padre vi ha castigati con la frusta, io vi castigherò con i flagelli!» Il popolo si ribella e il regno si divide in due. L'ascolto compassionevole unisce, la superbia dissennata sgretola ogni autorità.",Pronto
318,Antico Testamento,La Risurrezione del Figlio della Vedova con Elia,1 Re 17,20:00,"Ecco a voi in 2 minuti: il grido della preghiera che vince la morte a Sarepta. Il figlio della vedova che ospitava Elia si ammala gravemente e cessa di respirare. La donna piange addolorata, ma Elia le dice: «Dammi tuo figlio!» Lo prende dalle sue braccia, lo porta nella stanza al piano superiore dove alloggiava, lo corica sul suo letto e prega intensamente: «Signore mio Dio, fa' che l'anima di questo bambino torni in lui!» Il Signore ascolta la voce di Elia: il ragazzo torna a vivere ed egli lo riconsegna alla madre nella gioia.",Pronto
319,Antico Testamento,L'Incontro tra Elia e il Fedele Abdia,1 Re 18,20:00,"Ecco a voi in 2 minuti: il coraggio silenzioso nel tempo dell'oppressione. Mentre la regina Gezabele stermina i profeti del Signore, Abdia, maestro di palazzo timorato di Dio, nasconde cento profeti in due caverne a gruppi di cinquanta, provvedendo loro pane e acqua ogni giorno a rischio della vita. Incontrando Elia lungo la strada, si prostra con riverenza e accetta di annunciare al re il ritorno del profeta. Anche nelle corti più corrotte, la fedeltà silenziosa sa custodire semi preziosi di salvezza.",Pronto
320,Antico Testamento,La Piccola Nube come Palmo di Mano dal Carmelo,1 Re 18,20:00,"Ecco a voi in 2 minuti: la perseveranza nella preghiera che apre i cieli. Dopo il fuoco sul monte Carmelo, Elia sale sulla vetta, si china a terra col viso tra le ginocchia e dice al servo: «Sali e guarda verso il mare!» Il servo va e torna per sei volte dicendo che non c'è nulla. Alla settima volta dice: «Ecco una nuvoletta grande come la palma di una mano che sale dal mare!» Elia grida al re di affrettare il carro: il cielo si oscura di nubi e vento e scende una pioggia abbondante. La perseveranza ottiene la benedizione.",Pronto
321,Antico Testamento,L'Angelo Sveglia Elia sotto la Ginestra,1 Re 19,20:00,"Ecco a voi in 2 minuti: il conforto celeste all'anima sfinita nel deserto. Minacciato di morte, Elia fugge nel deserto di Bersabea, si siede sfinito sotto una pianta di ginestra e domanda la morte: «Basta, o Signore, prendi la mia vita!» Si addormenta stanco, ma un angelo lo tocca dicendogli: «Àlzati e mangia!» Trova una focaccia cotta su pietre calde e una brocca d'acqua. Mangia, beve e si ricadica; l'angelo torna una seconda volta: «Àlzati e mangia, perché il cammino è troppo lungo per te!» Con quel cibo cammina quaranta giorni. Dio ristora chi è stanco.",Pronto
322,Antico Testamento,La Vocazione di Eliseo Dietro l'Aratro,1 Re 19,20:00,"Ecco a voi in 2 minuti: il mantello gettato sull'aratro laborioso. Trovato Eliseo mentre sta arando con dodici paia di buoi davanti a sé, Elia gli passa accanto e gli getta addosso il suo mantello profetico. Eliseo lascia subito i buoi, corre dietro a Elia e chiede solo di poter baciare suo padre e sua madre prima di andare. Poi prende un paio di buoi, li sacrifica, cuoce la carne con il legno dell'aratro e la distribuisce alla sua gente, mettendosi al seguito di Elia come discepolo fedele. La vocazione chiede prontezza generosa.",Pronto
323,Antico Testamento,La Vigna di Nabot e la Giustizia Negata,1 Re 21,20:00,"Ecco a voi in 2 minuti: la difesa dell'eredità dei padri contro l'arbitrio. Il re Acab desidera trasformare in orto la vigna confinante di Nabot, ma Nabot rifiuta nobilmente: «Mi guardi l'Eterno dal cederti l'eredità dei miei padri!» La regina Gezabele ordisce un falso processo e fa lapidare l'innocente per impadronirsi della terra. Ma Elia va incontro al re nella vigna proclamando il giudizio: nessun sopruso contro i deboli rimane impunito davanti alla giustizia divina. La terra del povero è sacra agli occhi di Dio.",Pronto
324,Antico Testamento,I Cento Profeti Nutriti con Venti Pani d'Orzo,2 Re 4,20:00,"Ecco a voi in 2 minuti: la moltiplicazione modesta che sfama molti discepoli. A Galgala, durante una carestia, giunge un uomo da Baal-Salisa portando al profeta Eliseo primizie: venti pani d'orzo e spighe di grano novello nella sua bisaccia. Eliseo ordina al servitore: «Dallo alla gente perché mangi!» Il servo obietta: «Come posso mettere questo davanti a cento persone?» Ma Eliseo ripete: «Dallo alla gente, perché così dice l'Eterno: Mangeranno e ne avanzerà!» Mangiarono tutti e ne avanzò, secondo la parola del Signore.",Pronto
325,Antico Testamento,La Scure che Galleggia sulle Acque del Giordano,2 Re 6,20:00,"Ecco a voi in 2 minuti: la premura provvidenziale anche per le piccole cose. I discepoli dei profeti vanno con Eliseo al Giordano per tagliare travi e ampliare la loro dimora. Mentre uno di loro abbatte un albero, il ferro della scure si stacca dal manico e cade nell'acqua profonda; l'uomo grida addolorato: «Ahimè, mio signore! Era presa in prestito!» Il profeta chiede dove sia caduta, taglia un pezzo di legno, lo getta in quel punto e il pesante ferro sale a galla galleggiando. Dio ha cura di ogni nostra onesta fatica.",Pronto
